N_ITEMS;N_DESP;HITRATE;IS_WDO;SEGMENT
61482;32838;1.8722821121871003106;0;0
15551;8501;1.8293141983296082813;1;0
95144;38897;2.4460498238938735635;0;1
82066;33888;2.4216831916902738432;1;1
17353;6183;2.8065663917192301471;0;2
70713;21863;3.2343685679001052005;1;2
7953;2064;3.8531976744186046511;0;3
90322;23291;3.8779786183504357906;1;3
