N_ITEMS;N_DESP;HITRATE;IS_WDO;SEGMENT
46819;25269;1.8528236178717005025;0;0
9237;4830;1.9124223602484472049;1;0
44329;19167;2.3127771690927114311;0;1
36695;14921;2.4592855706722069566;1;1
42126;14912;2.8249731759656652360;0;2
90513;31138;2.9068340933907123129;1;2
35891;12008;2.9889240506329113924;0;3
88049;25471;3.4568332613560519806;1;3
