N_ITEMS;N_DESP;HITRATE;IS_WDO;SEGMENT
109563;60075;1.8237702871410736579;0;0
147549;60286;2.4474836612148757588;0;1
2020;782;2.5831202046035805626;1;1
94304;31494;2.9943481298025020638;0;2
28034;7784;3.6014902363823227132;0;3
