N_ITEMS;N_DESP;HITRATE;IS_WDO;SEGMENT
109716;59993;1.8288133615588485323;0;0
1485;581;2.5559380378657487091;1;0
117363;46545;2.5214953271028037383;0;1
27097;10414;2.6019781063952371807;1;1
78411;26333;2.9776706034253598146;0;2
33280;10295;3.2326372025254978144;1;2
7162;2426;2.9521846661170651277;0;3
23196;6330;3.6644549763033175355;1;3
