N_ITEMS;N_DESP;HITRATE;IS_WDO;SEGMENT
76256;39486;1.9312161272349693562;0;0
23674;12382;1.9119689872395412695;1;0
116115;47307;2.4544993341365971209;0;1
59926;23181;2.5851343772917475518;1;1
60776;21414;2.8381432707574483982;0;2
37565;10451;3.5943928810640130131;1;2
14451;4713;3.0661998726925525143;0;3
25973;6300;4.1226984126984126984;1;3
