N_ITEMS;N_DESP;HITRATE;IS_WDO;SEGMENT
71209;38022;1.8728367787070643311;0;0
6328;3312;1.9106280193236714975;1;0
66744;27214;2.4525611817446902329;0;1
44635;18101;2.4658858626595215733;1;1
72450;23855;3.0370991406413749738;0;2
66423;21906;3.0321829635716242125;1;2
33435;9449;3.5384696793311461530;0;3
59192;15175;3.9006260296540362438;1;3
